X,Y,Z,Speed_kmh
2091.8533,-2090.0510,13.5312,0.0
2097.4995,-2083.4836,13.5370,27.2
2105.2422,-2085.6392,13.5350,33.2
2107.5815,-2093.5579,13.5369,33.3
2104.8704,-2101.6865,13.5359,38.0
2097.9714,-2108.0093,13.2955,35.2
2089.0344,-2108.5537,13.3298,42.2
2080.8796,-2108.9512,13.3563,53.4
2071.8408,-2109.0374,13.3785,56.3
2062.4846,-2109.0691,13.3766,58.5
2052.1584,-2109.0872,13.3582,64.1
2040.6133,-2109.1250,13.3633,71.9
2028.4174,-2109.1899,13.3826,70.3
2016.4393,-2109.2263,13.4044,73.7
2003.6537,-2109.2686,13.3907,75.7
1990.9872,-2109.2874,13.3572,75.8
1978.7507,-2109.2803,13.3567,68.0
1969.4126,-2106.4668,13.3680,50.7
1964.7584,-2095.8118,13.3805,51.4
1963.4738,-2087.0186,13.3738,54.1
1963.1440,-2077.7009,13.3734,53.1
1963.0262,-2069.4683,13.3727,45.6
1963.0629,-2061.2280,13.4129,53.0
1963.1140,-2051.6384,13.4141,60.8
1963.2177,-2040.8064,13.3767,68.2
1963.0735,-2029.0981,13.3740,69.5
1962.7745,-2016.9952,13.3751,73.0
1962.6747,-2004.7390,13.3734,70.8
1963.1444,-1992.6862,13.3744,70.4
1962.8271,-1980.8584,13.3746,70.6
1962.4932,-1968.9515,13.4432,73.7
1962.2600,-1956.4299,13.7409,74.1
1962.0142,-1943.6658,13.4425,78.1
1961.7694,-1930.6575,13.3748,78.8
1962.2109,-1917.5654,13.3750,81.4
1962.3226,-1903.7200,13.3748,80.9
1962.3984,-1889.6172,13.3750,81.6
1962.3953,-1875.8829,13.3752,82.7
1962.6549,-1861.8035,13.3744,83.0
1962.8728,-1847.7821,13.3732,80.0
1962.6010,-1834.6382,13.3733,77.1
1962.4648,-1821.8094,13.3730,73.4
1962.3271,-1809.0990,13.3751,76.7
1962.1846,-1795.9021,13.3753,77.2
1962.0472,-1783.1923,13.3739,72.5
1961.8231,-1771.8420,13.3722,59.5
1959.8723,-1761.6383,13.3720,37.3
1953.7181,-1754.6160,13.3696,35.4
1942.6277,-1752.6464,13.3760,52.9
1933.1185,-1752.1627,13.3749,60.2
1922.2330,-1752.2491,13.3755,68.5
1910.1652,-1751.8696,13.3751,74.3
1897.9042,-1751.7448,13.3749,72.1
1885.5758,-1752.0579,13.3759,72.4
1874.0034,-1751.8022,13.3734,67.9
1862.5369,-1751.9199,13.3757,69.1
1850.7819,-1752.0321,13.3740,66.7
1840.0768,-1752.1195,13.3726,62.1
1830.4653,-1749.5912,13.3697,54.2
1824.2909,-1743.1934,13.3745,55.8
1816.7416,-1737.3665,13.3726,58.8
1807.0713,-1733.5171,13.3748,64.1
1796.1836,-1732.3402,13.3724,62.8
1786.1951,-1732.6544,13.3725,55.5
1777.2332,-1732.9075,13.3739,54.7
1768.1478,-1733.0322,13.3726,50.6
1758.9441,-1732.6523,13.3758,59.0
1747.8564,-1731.9856,13.3803,67.6
1735.9191,-1731.5684,13.3812,70.5
1723.6641,-1731.8257,13.3763,74.7
1710.1416,-1731.8712,13.3749,79.5
1696.3536,-1731.3812,13.3769,81.5
1682.2758,-1731.0754,13.3895,85.6
1667.9814,-1731.0135,13.3771,86.6
1653.0448,-1730.9517,13.3776,90.9
1637.4094,-1730.8876,13.3750,94.6
1621.6653,-1730.8293,13.3749,94.1
1613.5990,-1730.8978,13.3748,95.6
1605.5138,-1730.9823,13.3748,97.0
1597.4398,-1731.0658,13.3739,94.4
1582.0029,-1731.2211,13.3746,95.7
1573.4146,-1731.2871,13.3748,97.2
1565.3911,-1731.3036,13.3734,94.9
1557.3619,-1731.3151,13.3745,96.3
1549.2117,-1731.3284,13.3748,97.7
1540.9037,-1731.3438,13.3747,97.6
1532.3134,-1731.3579,13.3731,95.6
1524.0023,-1731.3715,13.3745,97.1
1515.7395,-1731.3849,13.3744,95.7
1500.0448,-1731.4113,13.3749,94.3
1492.0227,-1731.4246,13.3748,95.8
1483.9229,-1731.4377,13.3748,97.2
1475.6920,-1731.4509,13.3748,98.6
1467.3030,-1731.4645,13.3745,97.5
1459.2687,-1731.4778,13.3727,93.3
1443.4226,-1731.5042,13.3747,95.9
1434.7998,-1731.5182,13.3748,97.4
1426.4653,-1731.5316,13.3748,98.8
1417.5470,-1731.5459,13.3748,100.3
1409.3239,-1731.5591,13.3733,96.0
1401.2917,-1731.5725,13.3725,91.8
1386.2834,-1731.5986,13.3724,83.7
1372.9301,-1731.6206,13.3724,75.8
1360.2991,-1731.6427,13.3742,74.0
1348.4794,-1731.6626,13.3727,69.2
1336.6057,-1731.6820,13.3730,67.4
1326.0062,-1730.6636,13.3710,57.9
1319.4368,-1725.3586,13.4220,47.2
1314.8428,-1715.0640,13.3727,49.7
1314.0022,-1706.7256,13.3734,51.7
1313.9182,-1697.2704,13.3757,60.2
1313.7617,-1686.4399,13.3757,68.5
1313.5797,-1674.9440,13.3752,71.3
1313.3810,-1662.5020,13.3776,76.0
1313.1810,-1649.9484,13.3759,75.7
1312.9697,-1636.7007,13.3765,77.2
1312.7653,-1623.1553,13.3774,81.3
1313.0000,-1608.9125,13.3754,82.8
1313.2517,-1594.6199,13.3776,87.3
1313.5085,-1579.9102,13.3761,91.5
1313.7878,-1564.1713,13.3747,91.7
1315.8995,-1548.7458,13.3745,89.5
1320.0701,-1534.6073,13.3731,88.1
1326.4725,-1521.3671,13.3740,86.6
1333.2651,-1509.0820,13.3725,80.1
1339.4763,-1496.4718,13.3741,80.2
1345.0920,-1483.5660,13.3750,83.9
1350.3505,-1470.6924,13.3739,83.3
1353.2765,-1457.1368,13.3756,82.5
1354.9417,-1443.8569,13.3767,83.2
